,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
292,E08000037,Gateshead,North East,E,9998.0,1341.0,70.62,43.15,56.85,200996
293,E09000001,City of London,London,E,7109.0,3786.0,73.58,75.29,24.71,8760
294,E09000002,Barking and Dagenham,London,E,36514.0,26164.0,63.85,37.56,62.44,201979
295,E09000003,Barnet,London,E,97003.0,53869.0,72.14,62.23,37.77,379691
296,E09000004,Bexley,London,E,14401.0,8707.0,75.28,37.05,62.95,242142
297,E09000005,Brent,London,E,125034.0,65110.0,65.14,59.74,40.26,324012
298,E09000006,Bromley,London,E,23710.0,10411.0,78.87,50.65,49.35,324857
299,E09000007,Camden,London,E,142853.0,55003.0,65.52,74.94,25.06,241059
300,E09000008,Croydon,London,E,57592.0,25237.0,69.81,54.29,45.71,379031
301,E09000009,Ealing,London,E,121824.0,53203.0,70.08,60.4,39.6,343059
302,E09000010,Enfield,London,E,58122.0,35690.0,69.09,55.82,44.18,328433
303,E09000011,Greenwich,London,E,58032.0,26918.0,69.52,55.59,44.41,274803
304,E09000012,Hackney,London,E,64257.0,30018.0,65.18,78.48,21.52,269009
